brokered_by,status,price,bed,bath,acre_lot,street,city,state,zip_code,house_size,prev_sold_date,price_m2
Compass,lista para la venta,1538512,3,1,1.68,Calle Mayor 189,Málaga,Galicia,24958,493,2024-08-22,3120.7139959432047
RE/MAX,lista para la venta,625074,3,3,0.44,Calle Mayor 77,Bilbao,Cataluña,10196,165,2023-06-18,3788.327272727273
Realty One,lista para construir,983528,2,2,1.18,Plaza del Sol 167,Las Palmas,Andalucía,60752,388,2023-12-10,2534.865979381443
Coldwell Banker,lista para construir,797981,6,4,1.66,Avenida de la Constitución 103,Murcia,Galicia,95320,255,2023-11-04,3129.337254901961
RE/MAX,lista para la venta,850241,3,3,1.09,Plaza del Sol 18,Córdoba,Baleares,28973,369,2024-10-29,2304.1761517615178
Coldwell Banker,lista para la venta,747859,1,2,1.05,Paseo de la Castellana 183,Vigo,Valencia,87863,290,2024-09-17,2578.8241379310343
Century 21,lista para construir,1028352,3,1,1.82,Paseo de la Castellana 145,Barcelona,Canarias,31954,214,2025-02-15,4805.383177570094
Keller Williams,lista para la venta,637332,2,2,1.27,Calle Gran Vía 114,Murcia,Asturias,60892,253,2023-07-31,2519.098814229249
Keller Williams,lista para la venta,660882,4,1,0.69,Plaza España 101,Las Palmas,Canarias,56327,243,2024-03-22,2719.679012345679
Keller Williams,lista para construir,969351,4,4,0.48,Paseo de la Castellana 16,Valladolid,Cataluña,63126,381,2023-06-21,2544.228346456693
Sotheby's,lista para construir,457990,5,4,0.52,Plaza del Sol 124,Málaga,Galicia,53303,105,2023-11-01,4361.809523809524
Compass,lista para construir,490708,1,1,1.38,Plaza España 108,Málaga,Aragón,99368,142,2024-05-20,3455.6901408450703
Keller Williams,lista para construir,338609,2,3,0.34,Plaza del Sol 156,Bilbao,País Vasco,13188,55,2023-06-19,6156.527272727273
Compass,lista para construir,1056420,1,2,1.2,Plaza del Sol 118,Alicante,Cataluña,74095,471,2023-10-18,2242.9299363057326
Compass,lista para construir,334903,5,3,0.77,Paseo de la Castellana 169,Vigo,Baleares,46797,83,2024-08-29,4034.975903614458
Coldwell Banker,lista para la venta,1306873,1,2,1.62,Calle Mayor 36,Bilbao,Galicia,96103,381,2024-06-17,3430.1128608923887
