brokered_by,status,price,bed,bath,acre_lot,street,city,state,zip_code,house_size,prev_sold_date
Compass,lista para la venta,494167,6,3,0.56,Plaza del Sol 108,Valencia,Valencia,78849,96,2024-08-22
Century 21,lista para la venta,900720,6,4,0.74,Avenida Diagonal 133,Zaragoza,Extremadura,57368,332,2023-06-18
Keller Williams,lista para construir,668736,3,2,0.39,Calle Gran Vía 2,Gijón,Canarias,42745,294,2023-12-10
Coldwell Banker,lista para construir,708662,6,4,0.77,Paseo de la Castellana 168,Murcia,Madrid,40881,217,2023-11-04
Compass,lista para la venta,434692,4,4,1.73,Avenida Diagonal 123,Palma,Extremadura,23581,127,2024-10-29
Keller Williams,lista para construir,960968,3,2,0.45,Avenida de la Constitución 45,Palma,Navarra,27491,390,2024-09-17
Realty One,lista para construir,1350246,5,4,1.73,Avenida de la Constitución 168,Bilbao,Canarias,67364,367,2025-02-15
Century 21,lista para construir,306226,1,2,0.63,Avenida Diagonal 58,Córdoba,Castilla y León,94399,83,2023-07-31
Century 21,lista para la venta,1256162,1,1,1.52,Avenida de la Constitución 39,Málaga,País Vasco,39271,443,2024-03-22
Sotheby's,lista para construir,1022624,6,2,0.27,Plaza del Sol 101,Gijón,País Vasco,65984,401,2023-06-21
eXp Realty,lista para la venta,569421,1,1,1.03,Plaza España 90,Gijón,Madrid,79226,215,2023-11-01
Century 21,lista para la venta,968075,6,2,1.83,Calle Alcalá 192,Las Palmas,País Vasco,31758,327,2024-05-20
Realty One,lista para construir,1022030,1,1,0.17,Avenida de la Constitución 110,Sevilla,Galicia,68873,431,2023-06-19
Realty One,lista para la venta,1608690,4,2,1.89,Plaza del Sol 90,Bilbao,Galicia,80221,436,2023-10-18
Century 21,lista para construir,344644,3,4,0.42,Calle Serrano 180,Vigo,Valencia,34890,92,2024-08-29
Compass,lista para la venta,864945,1,2,1.65,Calle Gran Vía 75,Zaragoza,Navarra,13525,380,2024-06-17
Century 21,lista para construir,1073487,3,4,1.37,Calle Mayor 17,Palma,Extremadura,68144,435,2023-11-02
Keller Williams,lista para construir,1024901,6,1,1.25,Paseo de la Castellana 108,Bilbao,Madrid,95838,241,2024-07-18
Coldwell Banker,lista para construir,744227,2,3,1.41,Calle Gran Vía 41,Alicante,Canarias,23963,259,2024-12-19
Century 21,lista para la venta,691510,4,2,1.32,Calle Alcalá 165,Vigo,Castilla-La Mancha,37315,222,2023-06-05
eXp Realty,lista para la venta,780610,2,2,0.64,Ronda de Valencia 200,Málaga,País Vasco,37797,228,2024-12-16
Century 21,lista para construir,945956,1,1,0.34,Plaza España 138,Murcia,Canarias,42022,420,2024-10-02
Compass,lista para la venta,880251,2,1,1.85,Avenida Diagonal 158,Murcia,Canarias,41628,341,2024-01-25
eXp Realty,lista para construir,605242,1,2,1.9,Avenida de la Constitución 148,Vigo,Aragón,96751,182,2023-09-17
RE/MAX,lista para construir,472120,4,1,0.93,Calle Mayor 186,Zaragoza,Canarias,80021,131,2025-04-02
eXp Realty,lista para la venta,847519,6,4,1.92,Plaza del Sol 125,Las Palmas,Cataluña,94031,240,2024-01-22
Berkshire Hathaway,lista para la venta,506369,1,1,0.37,Plaza España 18,Málaga,Galicia,21864,152,2023-08-05
RE/MAX,lista para la venta,1168070,2,1,1.6,Plaza del Sol 3,Vigo,Aragón,91892,491,2023-08-07
Century 21,lista para construir,1017986,3,2,0.87,Avenida Diagonal 187,Córdoba,Andalucía,54356,438,2025-01-15
Century 21,lista para construir,365992,4,2,0.8,Paseo de la Castellana 86,Palma,Valencia,79270,124,2024-07-28
Coldwell Banker,lista para construir,1166878,4,3,1.69,Avenida de la Constitución 156,Murcia,Cataluña,72123,436,2024-12-17
Coldwell Banker,lista para construir,447903,5,1,0.7,Plaza del Sol 25,Sevilla,Canarias,84325,148,2024-10-24
Berkshire Hathaway,lista para construir,805346,3,4,0.97,Calle Gran Vía 54,Málaga,Castilla y León,18293,247,2024-06-10
Keller Williams,lista para construir,1033602,3,2,0.96,Calle Mayor 55,Las Palmas,Madrid,50935,465,2025-04-13
Compass,lista para construir,867144,1,1,1.97,Avenida Diagonal 46,Córdoba,Andalucía,68718,333,2024-02-21
Keller Williams,lista para la venta,515029,1,2,0.23,Plaza del Sol 152,Valencia,Andalucía,56347,131,2024-06-21
Century 21,lista para construir,1172610,4,1,0.61,Paseo de la Castellana 2,Málaga,Galicia,34113,388,2025-01-02
eXp Realty,lista para la venta,1197718,5,4,1.26,Avenida Diagonal 162,Valladolid,Asturias,87795,475,2024-08-07
Realty One,lista para construir,874455,5,3,1.38,Avenida de la Constitución 184,Las Palmas,Aragón,74614,331,2025-01-25
Century 21,lista para construir,413095,6,3,0.89,Plaza España 16,Málaga,Castilla y León,83392,54,2024-07-09
Keller Williams,lista para construir,1379870,1,2,0.38,Calle Gran Vía 62,Bilbao,Baleares,81330,424,2024-10-06
Keller Williams,lista para la venta,892102,2,1,0.59,Calle Gran Vía 19,Alicante,Extremadura,98699,423,2023-07-03
Keller Williams,lista para construir,858705,1,2,0.9,Paseo de la Castellana 99,Córdoba,Murcia,37892,373,2023-11-07
Sotheby's,lista para construir,1127332,4,3,0.46,Plaza del Sol 126,Sevilla,Navarra,88848,421,2023-12-20
Keller Williams,lista para la venta,262044,3,2,1.29,Calle Serrano 187,Palma,Asturias,49800,72,2023-07-26
Realty One,lista para construir,492936,3,4,0.77,Avenida Diagonal 155,Alicante,Cataluña,47930,126,2023-11-11
Berkshire Hathaway,lista para construir,400213,3,4,1.59,Avenida Diagonal 6,Zaragoza,Madrid,61986,69,2023-08-10
eXp Realty,lista para construir,711552,1,2,1.26,Avenida Diagonal 168,Palma,Andalucía,94473,291,2023-12-12
Compass,lista para construir,738041,1,1,0.14,Avenida de la Constitución 151,Bilbao,Navarra,42963,221,2024-08-19
Sotheby's,lista para construir,998373,1,1,1.35,Paseo de la Castellana 4,Murcia,Cataluña,44669,455,2024-02-11
Century 21,lista para construir,331587,1,2,1.35,Calle Alcalá 130,Gijón,Castilla-La Mancha,57788,83,2024-02-15
Realty One,lista para la venta,861727,3,2,1.87,Plaza España 29,Valladolid,Castilla-La Mancha,67237,307,2023-10-25
Keller Williams,lista para la venta,871627,3,4,1.37,Plaza España 94,Gijón,Aragón,65695,306,2023-12-05
Coldwell Banker,lista para construir,1607669,3,4,1.7,Plaza del Sol 112,Bilbao,Aragón,41601,427,2025-03-18
eXp Realty,lista para construir,410443,3,3,0.13,Calle Mayor 118,Valencia,Valencia,50526,100,2024-08-28
Compass,lista para la venta,621619,3,2,1.9,Paseo de la Castellana 158,Murcia,Cataluña,27864,235,2024-08-01
Coldwell Banker,lista para construir,1011791,4,2,0.29,Calle Gran Vía 59,Sevilla,País Vasco,11824,418,2023-09-28
Sotheby's,lista para la venta,1065200,2,1,1.9,Paseo de la Castellana 191,Murcia,Extremadura,22908,436,2024-10-24
eXp Realty,lista para la venta,645489,6,3,0.26,Plaza España 64,Murcia,Canarias,27172,235,2023-09-23
Keller Williams,lista para construir,328315,2,1,0.65,Calle Gran Vía 166,Sevilla,Galicia,50418,92,2024-02-21
Sotheby's,lista para la venta,515248,3,3,0.1,Plaza España 39,Alicante,Asturias,31271,179,2025-04-24
Compass,lista para construir,287346,3,1,1.66,Calle Gran Vía 178,Murcia,Castilla y León,30172,82,2024-08-22
Century 21,lista para construir,299573,2,3,0.21,Calle Alcalá 4,Gijón,Baleares,86687,107,2024-06-25
Keller Williams,lista para la venta,1094620,4,1,1.3,Paseo de la Castellana 66,Alicante,Galicia,79466,431,2024-09-22
RE/MAX,lista para construir,974850,5,1,0.75,Plaza España 190,Valladolid,Castilla y León,76027,395,2025-01-11
eXp Realty,lista para construir,1619303,3,2,1.18,Plaza del Sol 67,Bilbao,Castilla y León,34168,486,2024-11-25
eXp Realty,lista para construir,814677,3,2,0.44,Plaza del Sol 101,Alicante,Murcia,48500,303,2023-11-08
Coldwell Banker,lista para la venta,504771,5,4,1.31,Calle Alcalá 45,Las Palmas,Murcia,86276,147,2023-06-23
Coldwell Banker,lista para construir,2093417,6,4,1.55,Paseo de la Castellana 171,Barcelona,Navarra,70472,443,2024-01-08
Keller Williams,lista para construir,1224144,5,2,0.42,Avenida de la Constitución 186,Málaga,Aragón,63006,376,2023-12-05
eXp Realty,lista para construir,976736,2,2,1.33,Calle Alcalá 196,Valencia,Asturias,72256,305,2023-10-26
Coldwell Banker,lista para construir,1167912,1,2,1.52,Calle Gran Vía 4,Málaga,Castilla y León,98627,407,2025-03-22
Compass,lista para la venta,1288580,5,4,1.49,Paseo de la Castellana 61,Zaragoza,Aragón,61467,496,2025-02-04
Century 21,lista para construir,2130533,6,2,0.46,Calle Alcalá 148,Barcelona,Cataluña,49937,468,2024-01-07
RE/MAX,lista para construir,1089209,4,1,0.48,Avenida de la Constitución 167,Málaga,Castilla-La Mancha,29931,363,2024-09-02
eXp Realty,lista para construir,471722,2,3,1.9,Calle Mayor 176,Vigo,Valencia,87800,166,2024-03-04
Realty One,lista para construir,539200,5,4,1.55,Plaza del Sol 26,Palma,Asturias,24613,131,2025-03-03
Coldwell Banker,lista para construir,2288435,6,4,0.44,Ronda de Valencia 109,Barcelona,Aragón,18477,496,2024-04-17
RE/MAX,lista para la venta,757098,2,3,0.53,Plaza España 161,Murcia,Aragón,41589,304,2023-12-03
Berkshire Hathaway,lista para construir,1131063,4,3,0.77,Calle Alcalá 54,Valladolid,Murcia,13392,463,2023-11-20
Berkshire Hathaway,lista para la venta,623016,3,3,1.72,Calle Alcalá 144,Vigo,Castilla-La Mancha,36403,192,2024-06-28
RE/MAX,lista para construir,1535997,3,4,1.64,Calle Mayor 99,Madrid,Baleares,36573,286,2023-12-02
Century 21,lista para la venta,1078747,4,4,1.3,Plaza España 170,Córdoba,Canarias,54521,444,2024-07-14
eXp Realty,lista para construir,464177,2,2,0.16,Calle Gran Vía 129,Córdoba,Baleares,31451,165,2025-02-19
Sotheby's,lista para la venta,1043914,6,3,1.8,Calle Mayor 89,Valladolid,Castilla y León,81857,395,2024-03-06
Century 21,lista para la venta,557066,3,3,1.25,Plaza del Sol 79,Palma,Galicia,53064,152,2023-11-01
eXp Realty,lista para construir,541446,5,1,1.9,Paseo de la Castellana 81,Zaragoza,Navarra,84710,144,2025-04-30
Coldwell Banker,lista para construir,438592,6,4,1.36,Calle Gran Vía 79,Córdoba,Castilla y León,54729,56,2024-05-23
Keller Williams,lista para la venta,1096016,1,1,1.28,Plaza del Sol 134,Málaga,Aragón,80722,400,2023-08-03
Keller Williams,lista para la venta,527383,6,1,0.69,Calle Serrano 2,Bilbao,Madrid,53854,124,2023-07-04
Century 21,lista para la venta,704766,5,1,2.0,Ronda de Valencia 119,Las Palmas,Navarra,32749,259,2023-08-16
Realty One,lista para la venta,1241038,4,1,1.44,Calle Serrano 77,Gijón,Baleares,22206,491,2024-08-13
Keller Williams,lista para construir,866627,5,3,1.29,Calle Serrano 18,Málaga,Madrid,34501,251,2024-12-07
eXp Realty,lista para construir,567949,5,2,1.5,Plaza España 200,Sevilla,Cataluña,54848,173,2024-03-22
RE/MAX,lista para construir,467970,3,1,0.99,Calle Mayor 174,Gijón,Murcia,69951,185,2023-07-15
Coldwell Banker,lista para la venta,724681,4,1,1.33,Avenida de la Constitución 42,Las Palmas,Navarra,24149,241,2024-02-23
Keller Williams,lista para la venta,601743,6,3,1.76,Plaza del Sol 97,Málaga,Asturias,12860,102,2025-04-29
Berkshire Hathaway,lista para construir,645994,6,2,0.82,Calle Serrano 20,Sevilla,Extremadura,90622,224,2024-06-05
Compass,lista para la venta,409622,1,2,1.41,Paseo de la Castellana 141,Gijón,Aragón,75991,111,2025-04-11
Century 21,lista para la venta,797028,2,2,0.39,Paseo de la Castellana 149,Las Palmas,Andalucía,87266,328,2025-01-24
eXp Realty,lista para construir,489004,4,4,0.67,Avenida Diagonal 160,Córdoba,Murcia,60163,133,2023-06-09
